subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A87;spatial_reduced3;-0.0668731615842261;0.0;-0.0727671335553168;1.0;0.2200506694827345;1.4551693183761929e-12;1.6962817500752865;-1.0;0.0;0.0;7354.667893002877;9996.0;0.7357610937377829;16792.809656944766
A86;spatial_reduced3;-0.147314764452858;0.0;-0.0737950905313482;1.0;0.1910353264129662;0.4330206034490402;1.3960780875277123;-1.0;0.0;0.0;7322.9143045469855;9996.0;0.7325844642403947;16420.01042001946
A87;spatial_reduced3;-0.0791964233542463;0.0;-0.0785562281880469;1.0;0.2148329813150764;0.0659553030756162;1.637323392341166;-1.0;0.0;0.0;7351.337246892945;9996.0;0.7354278958476336;16770.090779595455
A86;spatial_reduced3;-0.1484752622782252;0.0;-0.0676083585130982;1.0;0.199584313002415;0.1840754661126993;1.554227298591286;-1.0;0.0;0.0;7325.58947852658;9996.0;0.7328520886881332;16412.07832526747
A96;spatial_reduced3;-0.1578065603971481;0.0;-0.1159155517816543;1.0;0.2121851360797882;0.3734099000692367;1.342069149017334;-1.0;0.0;0.0;4885.546152609759;6884.0;0.7096958385545844;6918.3498363311
A89;spatialU_notrandom;0.329152425970733;0.3459854430348059;0.3541056104552353;0.7671771664818656;0.1608706975113273;0.1120453777300554;1.726481268004136;-1.2695619913138216;;-0.0999984137852152;7585.039366084444;9996.0;0.7588074595922812;17284.990024765917
A83;spatialU_notrandom;0.4883743044301809;0.501932975872478;0.4887291188715608;1.0841019065121569;0.1859328686390654;0.3456923853860644;0.944077402644325;-0.9896930489485384;;-0.095674975804286;6973.421062835172;9451.0;0.7378500754243119;12790.198969420191
A87;spatialU_notrandom;0.26470942000023;0.448688728668202;0.3103867958327555;1.8949141228450013;0.4082849709481695;0.0021767513031761;2.85328783197258;-2.4339390457127195;;0.4406126965981229;7368.213809863386;9996.0;0.7371162274773295;16886.025005034335
A86;spatialU_notrandom;0.1238446105213739;0.3758730783739281;0.2828682454402411;1.9275678381246808;0.3750834439172831;0.2402712191209673;2.256323422363721;-2.2695000618420806;;0.4677049925581968;7312.693265671352;9996.0;0.7315619513476743;16446.6890111521
A84;spatialU_notrandom;0.4537162275519222;0.3645453269127756;0.5053572363685817;0.8555816618542027;0.2370130780339241;0.0965402682311832;1.4892177935689688;-1.3339658360928297;;-0.0758442673832178;400.9097938664343;651.0;0.6158368569376871;403.51012494931655
A95;spatialU_notrandom;0.4284266830931784;0.5282772359151693;0.4564615499002116;0.9022745835440484;0.1939559637185959;0.1967532737669046;2.0270205088336297;-1.647051180526546;;-0.0999987147785077;3980.137402770653;5220.0;0.7624784296495504;3979.878043047886
A96;spatialU_notrandom;0.2821553277462953;0.4460501453722827;0.35257255443139;0.8562499698450998;0.1881845939264167;0.5320604259613901;1.7195518169319255;-1.5270264849532396;;-0.0999999999767169;4828.30936114662;6884.0;0.7013813714623214;6895.522079073693
A93;spatialU_notrandom;0.3433167797047645;0.4398842775262892;0.3755299975164234;0.7080359292300681;0.1580680527351796;0.1874240767210722;1.6890541575849056;-1.3752948073670268;;-0.0998379895463585;5336.650306637861;7409.0;0.7202929284165017;7593.237492014731
A92;spatialU_notrandom;0.3540929787764577;0.4721211125524762;0.5315498358239896;1.5652465672985392;0.3207680340852649;4.3900514834493976e-08;3.579676200850841;-2.296877165377317;;-0.0999999999999978;8058.402156675084;9996.0;0.8061626807398043;25424.46401957773
A89;spatialU;-0.1632464605512495;-0.0844533903431852;-0.1687565183812012;0.8174111238374815;0.2191307158269774;0.4037411319664329;0.0012094909025108;-1.8511035722845008;;2.352301830803981;8071.135137985708;9996.0;0.8074364883939283;18704.09559572576
A89;spatialU;1.619375168877923;1.8975452422791927;1.828266305457192;1.9909902516471096;0.7084558932202708;0.5316724103759498;0.0138945619764854;-4.401511876248605;;3.644906159453967;6008.738601406888;7497.0;0.801485741150712;18692.73065666517
A89;spatialU;-0.7154757403477561;-0.4313030662306119;-0.7169104954664363;1.9631593173282456;0.6364872292464133;0.1435333956964313;0.1440640793880447;-3.0962840524152853;;4.135860361915547;8059.300138317568;9996.0;0.8062525148376919;18712.65680760014
A89;spatialU;-0.5210526403846645;-0.3551219138948269;-0.4953959746969811;1.7256789235429115;0.3816355216857138;0.9999999999999992;0.0043426549502285;-1.9847493510633445;;2.500885001159425;8057.582926670402;9996.0;0.806080724957023;18669.49497259563
A87;spatialU;0.1723666191101074;0.5983521938323975;0.2183332443237304;1.9992452548220985;0.6381318473815918;0.3007349014282227;0.0;-1.581331729888916;;1.6848554611206057;5865.511126934836;7497.0;0.7823811026990578;18467.38270048433
