subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A92;externalU2_randomx0;-0.0788501300369262;0.16386700630806672;0.07215203006052207;1.0;0.3102698216681074;0.00010288365378979814;0.0;-1.0;0.0;1.5172645873071815;8316.249943727515;9996;0.831957777483745;28954.593129635017
A93;externalU2_randomx0;-0.003522290848195553;0.2800445482134819;0.012469916604459286;1.0;0.2623649547249079;0.9999678403139114;0.0;-1.0;0.0;1.2432470917701721;5890.533516030708;7409;0.7950510886800793;9058.845210083906
A84;externalU2_randomx0;0.47731004655361176;0.34323030710220337;0.49405404925346375;1.0;0.38574912428855895;0.6248493164777756;0.0;-1.0;0.0;1.4922046065330505;479.3688721986006;651;0.7363577145907844;544.1205326590748
A92;externalU2_randomx0;0.15565328810771462;0.4106945576113503;0.3226179864932419;1.0;0.37689730153353596;0.9992739495563001;0.0;-1.0;0.0;1.5922847871042904;8316.77426592587;9996;0.8320102306848609;29032.00001533396
A89;externalU2_randomx0;0.7268367678211689;0.7485320832475395;0.7716340468875842;1.0;0.16990969563769343;2.270406085358445e-14;0.0;-1.0;0.0;0.354439549572362;7907.565835797397;9996;0.7910730127848536;19929.144850093537
A86;externalU2_randomx0;-0.10865699873829726;0.14963917377826874;-0.019151665477693314;1.0;0.254459411619755;0.6773451483066311;0.0;-1.0;0.0;1.2386133968102513;7924.547509730813;9996;0.7927718597169681;18631.56869248096
A87;externalU2_randomx0;0.6687276583834318;0.7882990040379809;0.7183555162337143;1.0;0.16865088188438676;0.39361407606920695;0.0;-1.0;0.0;0.4111298671923578;7885.154980016967;9996;0.7888310304138623;18634.87704756495
A86;externalU2_randomx0;0.5168046257567767;0.6713229472588864;0.6152930699427088;1.0;0.15419423028040913;0.9718485127465102;0.0;-1.0;0.0;0.5044266280747252;7887.395588768288;9996;0.7890551809492085;18516.47965466127
A96;externalU2_randomx0;0.5459707919508219;0.7500367993488908;0.6477144816890359;1.0;0.13871692039072514;0.42259487248957156;0.0;-1.0;0.0;0.43410517275333405;5224.030477448835;6884;0.7588655545393427;7950.476388342509
A87;externalU2_randomx0;0.16214563150106187;0.3471948316804401;0.18986092679188005;1.0;0.2241338018357374;0.0008514293112625304;0.0;-1.0;0.0;0.9304785434478617;7888.063885495843;9996;0.7891220373645301;18734.968512409538
A84;externalU2_randomx0;0.888427734375;0.7939453125;0.908203125;1.0;0.7722851562499999;0.958935546875;0.0;-1.0;0.0;3.935546875;479.2760984449081;651;0.7362152049844979;540.6074300230184
A93;externalU2_randomx0;-0.11472282287525104;0.2468157094505159;-0.11406613542987998;1.0;0.3401120527702824;0.3760481216236144;0.0;-1.0;0.0;1.6382379807262168;5904.59274909236;7409;0.7969486771618788;9092.3032670516
A83;externalU2_randomx0;-0.8052330661816001;-0.6943849262745942;-0.9800329671255241;1.0;0.3640077769593995;0.999597560790187;0.0;-1.0;0.0;2.34583955925126;7433.315276373263;9451;0.7865109804648464;14354.072889071183
A89;externalU2_randomx0;0.4851776263416525;0.5296944270604484;0.5096447076404615;1.0;0.24552985967891688;0.523232749874805;0.0;-1.0;0.0;0.8068284707533167;8058.859146556628;9996;0.8062083980148688;20479.586599794493
A95;externalU2_randomx0;0.21690266350469756;0.4807535681857189;0.17434374403455877;1.0;0.3575946081811708;0.5988777823540659;0.0;-1.0;0.0;1.6711053558974527;4344.019541441425;5220;0.8321876516171312;5536.131299996891
A92;externalU2_randomx0;-0.004497369325463296;0.2642693547127237;0.17570369688701248;1.0;0.3610080647600626;0.9999926641908587;0.0;-1.0;0.0;1.6375840131513542;8317.950157305972;9996;0.8321278668773481;29044.22730061576
A83;externalU2_randomx0;0.5566041232086718;0.6087985849007964;0.5650807251222432;1.0;0.1832597658224404;0.00041951239109033756;0.0;-1.0;0.0;0.5303458515554667;7327.597590848376;9451;0.7753251074858085;14083.221775093094
A84;externalU2_randomx0;0.7193464413181232;0.5406864012985722;0.7075888160997827;1.0;0.6320758928777122;3.956736588373033e-08;0.0;-1.0;0.0;2.9564870263978804;478.85762464512516;651;0.7355723880877498;547.3122283891262
A93;externalU2_randomx0;-0.9662654904532246;-0.8370601001079194;-0.999989734380506;1.0;0.14227026257663966;0.00010770589578895651;0.0;-1.0;0.0;1.6848635079804808;5754.765453806218;7409;0.7767263401007177;8843.156361665468
A92;externalU2_randomx0;0.3909985418385986;0.5798122515989235;0.5384424146832316;1.0;0.2502359435609833;0.000412313310698631;0.0;-1.0;0.0;0.8800052817714459;8294.10304507786;9996;0.8297422013883413;28921.506184687285
A89;externalU2_randomx0;-0.9508410394191742;-0.9232197403907776;-0.9830743074417114;1.0;0.16370807588100433;0.0003259010612964297;0.0;-1.0;0.0;1.7231354266405106;7897.139400616632;9996;0.7900299520424802;19915.394285819115
A95;externalU2_randomx0;0.4211774955265355;0.6314676950623834;0.4062470939688865;1.0;0.26278471138663007;0.3746569318274851;0.0;-1.0;0.0;1.0060219742445042;4329.698883007012;5220;0.8294442304611135;5502.62085618198
A93;externalU2_randomx0;-0.05700343463831814;0.2632097470086592;-0.08316274397657253;1.0;0.3422158877417678;4.4513912871468886e-05;0.0;-1.0;0.0;1.6475806546513923;5900.634008694211;7409;0.79641436208587;9096.107613215065
A83;externalU2_randomx0;0.5657773053981145;0.617553122393474;0.5701391298262024;1.0;0.1889175275180605;0.0004065480239660024;0.0;-1.0;0.0;0.5349308287768508;7333.979599640719;9451;0.7760003808740576;14088.846130476784
A95;externalU2_randomx0;-0.11142954618117074;0.12291704930612468;-0.16758486272738082;1.0;0.2842883938364685;0.3940187657441129;0.0;-1.0;0.0;1.5463171868759673;4328.3880247245115;5220;0.8291931081847723;5517.130696348584
A83;externalU2_randomx0;0.07026201859116554;0.11787662655115128;0.05203111097216606;1.0;0.18436702698469165;0.003677493333816506;0.0;-1.0;0.0;0.9242844134569168;7330.14752057422;9451;0.7755949127684075;14075.256961945692
A93;externalU2_randomx0;0.06525720027275383;0.39746496453881264;0.042903617257252336;1.0;0.33214430717751386;0.3605424115434289;0.0;-1.0;0.0;1.5066418517380953;5905.19406900961;7409;0.7970298379011486;9105.300317562847
A84;externalU2_randomx0;0.2531744914012961;0.19288896705256775;0.2994578692596406;1.0;0.47549368428066374;0.004420265241060373;0.0;-1.0;0.0;2.116952773183584;479.66189828979907;651;0.7368078314743457;540.1623669811552
A92;externalU2_randomx0;0.1274158203261777;0.34963848852476076;0.27009629605777263;1.0;0.3463487188243016;0.04332277710200283;0.0;-1.0;0.0;1.508249257434727;8314.588096276795;9996;0.8317915262381748;28970.31222225797
A89;externalU2_randomx0;-0.6592092206369067;-0.6142591103582831;-0.7098959992889959;1.0;0.3140649762238789;0.39905289172234004;0.0;-1.0;0.0;2.036775086308097;8069.748547469868;9996;0.8072977738565293;20520.062874651347
A95;externalU2_randomx0;0.7897521154929201;0.873087634141875;0.837683674038459;1.0;0.1308362925864131;0.09528691020513874;0.0;-1.0;0.0;0.24948186631495162;4184.083766888288;5220;0.8015486143464153;5338.610441371742
A96;externalU2_randomx0;0.0795912816456621;0.4825162340998759;0.1495139671733341;1.0;0.2680554025994752;0.12322068380190099;0.0;-1.0;0.0;1.1216924151776766;5280.681224723618;6884;0.7670948902852437;8062.927808589207
A87;externalU2_randomx0;-0.2186308480871979;0.006864360807330883;-0.2766911797520315;1.0;0.30209482476774724;0.0013244518735781585;0.0;-1.0;0.0;1.5576784996970048;7938.108361125736;9996;0.7941284875075767;18847.35733331821
A86;externalU2_randomx0;0.5016127377748489;0.6586905866861343;0.5943616926670074;1.0;0.16679925918579103;0.19538725912570953;0.0;-1.0;0.0;0.5226516127586365;7870.138230256818;9996;0.7873287545274928;18477.68407171837
A96;externalU2_randomx0;0.11789858993142843;0.5675108665600419;0.1990581527352333;1.0;0.2858027672767639;0.000238591246306874;0.0;-1.0;0.0;1.114135205745697;5287.766750539939;6884;0.7681241648082421;8053.224799247861
A87;externalU2_randomx0;0.5326496237653942;0.6532832474704264;0.5608951828617705;1.0;0.1921323912236676;3.4294655529232276e-05;0.0;-1.0;0.0;0.5673975820704982;7859.490630653027;9996;0.7862635684926998;18573.02774035185
A89;spatialU;-0.16324646055124958;-0.08445339034318522;-0.1687565183812012;0.8174111238374815;0.2191307158269774;0.4037411319664329;0.001209490902510879;-1.8511035722845008;0.0;2.352301830803981;8071.135137985708;9996;0.8074364883939283;20430.8027171369
